artist_name,album_name,track_name,search_term,track_uri,t_uri,genres,filtered_genres,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
White Willow,Signal To Noise,Ghosts,"White Willow, Ghosts",spotify:track:69iuQk9BugmrGTMM8jmkcG,69iuQk9BugmrGTMM8jmkcG,crossover prog|modern progressive rock|neo-progressive|progressive rock|symphonic rock,rock,spotify:track:69iuQk9BugmrGTMM8jmkcG,0.00171,0.504,0.807,0.67,0.141,-4.852,0.0407,0.53765011,0.284
Triptides,Sun Pavilion,Silhouette,"Triptides, Silhouette",spotify:track:0ov3qWbr0UJJiR3s5p7QC2,0ov3qWbr0UJJiR3s5p7QC2,indie garage rock|neo-psychedelic,rock|indie,spotify:track:0ov3qWbr0UJJiR3s5p7QC2,0.0583,0.458,0.423,0.0546,0.171,-10.305,0.0307,0.538926689,0.373
of temples,The Decline,Circles,"of temples, Circles",spotify:track:4SygVjNel599duJxds4tfm,4SygVjNel599duJxds4tfm,canadian metalcore,metal,spotify:track:4SygVjNel599duJxds4tfm,0.000173,0.63,0.785,0.218,0.0922,-4.936,0.0478,0.582379632,0.303
Manic Street Preachers,Forever Delayed (PROPER),The Everlasting,"Manic Street Preachers, The Everlasting",spotify:track:3KnMN356dGY4CuGhfIdwMF,3KnMN356dGY4CuGhfIdwMF,alternative rock|britpop|modern rock|permanent wave|pop rock|rock|welsh rock,pop|rock,spotify:track:3KnMN356dGY4CuGhfIdwMF,0.00257,0.505,0.662,3.64E-05,0.057,-8.277,0.0325,0.428509359,0.33
Rebecca Gates,Ruby Series,Move,"Rebecca Gates, Move",spotify:track:1S5uEspf9fMXtvE1JYpKFH,1S5uEspf9fMXtvE1JYpKFH,alternative pop,pop,spotify:track:1S5uEspf9fMXtvE1JYpKFH,0.343,0.139,0.16,1.30E-05,0.131,-17.653,0.039,0.692071327,0.0906
8 Ball,"The Braun MTV Eurochart 2006, Volume 4",My Love,"8 Ball, My Love",spotify:track:7IzmWYkj1NodTYkZCD1KG8,7IzmWYkj1NodTYkZCD1KG8,j-pop,pop,spotify:track:7IzmWYkj1NodTYkZCD1KG8,0.415,0.612,0.654,0,0.193,-10.889,0.039,0.56174833,0.819
Fariborz Lachini,Golden Autumn 2,Stranger,"Fariborz Lachini, Stranger",spotify:track:2RvrAGTAv6wcA44cLgbyH7,2RvrAGTAv6wcA44cLgbyH7,neoclassical darkwave|new age|new age piano,classical,spotify:track:2RvrAGTAv6wcA44cLgbyH7,0.963,0.527,0.11,0.934,0.133,-21.907,0.0388,0.441024309,0.238
Trupa Trupa,++,Miracle,"Trupa Trupa, Miracle",spotify:track:6t1fRL3bhFMT7WcbYHaa2X,6t1fRL3bhFMT7WcbYHaa2X,polish indie rock|polish noise rock|polish post-punk,rock|indie,spotify:track:6t1fRL3bhFMT7WcbYHaa2X,0.273,0.518,0.722,0.327,0.347,-9.762,0.049,0.604730955,0.643
Blood Red Shoes,Fire Like This (Deluxe),When We Wake,"Blood Red Shoes, When We Wake",spotify:track:5j4DIFTJleGAf4LnlbfsjH,5j4DIFTJleGAf4LnlbfsjH,alternative dance|brighton indie|dance-punk|garage rock|indie rock|modern alternative rock|modern rock|new rave,rock|indie|dance,spotify:track:5j4DIFTJleGAf4LnlbfsjH,0.0812,0.34,0.771,0.00125,0.0987,-8.083,0.0522,0.555226582,0.0794
J. Pinder,Careless,Careless,"J. Pinder, Careless",spotify:track:4jHGyDUu2pqZWVu1tMEW8P,4jHGyDUu2pqZWVu1tMEW8P,seattle hip hop,hip hop,spotify:track:4jHGyDUu2pqZWVu1tMEW8P,0.679,0.419,0.961,0,0.267,-2.695,0.319,0.77940274,0.24
